category,product_type,brand,model,age,condition,ram,storage,processor,price
Electronics,Mobile Phone,Samsung,Galaxy S21,1,Excellent,8 GB,128 GB,,28000
Electronics,Mobile Phone,Samsung,Galaxy S21,2,Good,8 GB,128 GB,,23000
Electronics,Mobile Phone,Samsung,Galaxy S22,1,Excellent,8 GB,128 GB,,36000
Electronics,Mobile Phone,Samsung,Galaxy S22,2,Good,8 GB,128 GB,,30000
Electronics,Mobile Phone,Apple,iPhone 12,2,Excellent,4 GB,128 GB,,38000
Electronics,Mobile Phone,Apple,iPhone 12,3,Good,4 GB,128 GB,,32000
Electronics,Mobile Phone,Apple,iPhone 13,1,Excellent,4 GB,128 GB,,48000
Electronics,Mobile Phone,Apple,iPhone 13,2,Good,4 GB,128 GB,,41000
Electronics,Mobile Phone,OnePlus,9 Pro,2,Good,8 GB,256 GB,,26000
Electronics,Mobile Phone,OnePlus,10 Pro,1,Excellent,8 GB,256 GB,,35000
Electronics,Mobile Phone,Xiaomi,Mi 11,2,Good,8 GB,128 GB,,19000
Electronics,Mobile Phone,Realme,GT,2,Good,8 GB,128 GB,,18000
Electronics,Mobile Phone,Vivo,V23,2,Good,8 GB,128 GB,,21000
Electronics,Mobile Phone,Oppo,Reno 7,2,Good,8 GB,128 GB,,20000
Electronics,Laptop,Dell,Inspiron 15,2,Good,8 GB,512 GB,i5,38000
Electronics,Laptop,Dell,Inspiron 15,3,Good,8 GB,512 GB,i5,32000
Electronics,Laptop,Dell,Inspiron 15,1,Excellent,16 GB,512 GB,i5,48000
Electronics,Laptop,HP,Pavilion 15,2,Good,8 GB,512 GB,i5,40000
Electronics,Laptop,HP,Pavilion 15,3,Good,8 GB,512 GB,i5,34000
Electronics,Laptop,HP,Pavilion 15,1,Excellent,16 GB,512 GB,i7,55000
Electronics,Laptop,Lenovo,IdeaPad 3,2,Good,8 GB,512 GB,i5,35000
Electronics,Laptop,Lenovo,IdeaPad 5,1,Excellent,16 GB,512 GB,i5,47000
Electronics,Laptop,Lenovo,ThinkPad,3,Good,16 GB,512 GB,i5,42000
Electronics,Laptop,Acer,Aspire 5,2,Good,8 GB,512 GB,i5,33000
Electronics,Laptop,Asus,VivoBook,2,Good,8 GB,512 GB,i5,36000
Electronics,Laptop,Asus,VivoBook,1,Excellent,16 GB,512 GB,i7,50000
Furniture,Office Chair,IKEA,Office Chair,2,Good,,,,4500
Furniture,Office Chair,IKEA,Office Chair,1,Excellent,,,,6500
Furniture,Wooden Table,,Wooden Table,3,Good,,,,7000
Furniture,Wooden Table,,Wooden Table,5,Good,,,,4500
Furniture,Dining Table,,Dining Table,2,Excellent,,,,12000
Furniture,Dining Table,,Dining Table,4,Good,,,,8000
Furniture,Sofa,,Sofa,3,Good,,,,15000
Furniture,Sofa,,Sofa,6,Good,,,,9000
Furniture,Bed,,Bed,3,Good,,,,11000
Furniture,Bed,,Bed,7,Good,,,,6500
Furniture,Study Desk,,Study Desk,2,Good,,,,6000
Furniture,Study Desk,,Study Desk,1,Excellent,,,,8500
Bicycles,Mountain Bike,Hero,Mountain Bike,2,Good,,,,9000
Bicycles,Mountain Bike,Hero,Mountain Bike,4,Good,,,,6000
Bicycles,Road Bike,Firefox,Road Bike,1,Excellent,,,,22000
Bicycles,Road Bike,Firefox,Road Bike,3,Good,,,,16000
Bicycles,Hybrid Bike,Montra,Hybrid Bike,2,Good,,,,12000
Bicycles,Hybrid Bike,Montra,Hybrid Bike,4,Good,,,,8000
Bicycles,City Bike,Hercules,City Bike,2,Good,,,,7500
Bicycles,City Bike,Hercules,City Bike,5,Good,,,,5000
Electronics,Speaker,Philips,Speaker,2,Good,,,,3000
Electronics,Speaker,JBL,Speaker,1,Excellent,,,,5000
Electronics,Speaker,JBL,Speaker,3,Good,,,,3500
Electronics,Headphones,Sony,Headphones,2,Good,,,,2500
Electronics,Headphones,Sony,Headphones,1,Excellent,,,,4000
Electronics,Headphones,Boat,Headphones,2,Good,,,,1800
Electronics,Camera,Canon,Digital Camera,3,Good,,,,18000
Electronics,Camera,Canon,Digital Camera,5,Good,,,,12000
Electronics,Glucose Meter,Accu-Chek,Glucose Meter,2,Good,,,,1500
Electronics,Glucose Meter,Accu-Chek,Glucose Meter,1,Excellent,,,,2200
Electronics,Glucose Meter,Accu-Chek,Glucose Meter,3,Good,,,,1200
